Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 57,000 MIPS : MIPS budget 54,870 MIPS
  8 out of 8 with MIPS capacity
*   192 out of 193 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor cpu, 25,500 MIPS,
processor wstepna_obrobka_sys.cpu, 4,500 MIPS,
processor kadz_filtracyjna_sys.cpu, 4,500 MIPS,
processor warzenie_sys.cpu, 4,500 MIPS,
processor parowanie_sys.cpu, 4,500 MIPS,
processor wirowanie_sys.cpu, 4,500 MIPS,
processor fermentacja_sys.cpu, 4,500 MIPS,
processor butelkowanie_sys.cpu, 4,500 MIPS,
Total, 57,000 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
  process wstepna_obrobka_sys.timer_control_proc,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.timer_control_proc total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread wstepna_obrobka_sys.button_control.button_control_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.button_control.button_control_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process wstepna_obrobka_sys.button_control,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.button_control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread wstepna_obrobka_sys.monitor_ctrl.control,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.monitor_ctrl.control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process wstepna_obrobka_sys.monitor_ctrl,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.monitor_ctrl total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
system wstepna_obrobka_sys, 22,500 MIPS,8,000 MIPS,system WarzeniePiwa_impl_Instance.wstepna_obrobka_sys total 8,000 MIPS below budget 22,500 MIPS (64,4 % slack)
  device kadz_filtracyjna_sys.start_button,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.start_button total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device kadz_filtracyjna_sys.klawiatura,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.klawiatura total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device kadz_filtracyjna_sys.timer,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.timer total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device kadz_filtracyjna_sys.water_dispenser,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.water_dispenser total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device kadz_filtracyjna_sys.water_lvl_sensor,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.water_lvl_sensor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device kadz_filtracyjna_sys.kadz,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.kadz total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device kadz_filtracyjna_sys.monitor,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.monitor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
    thread kadz_filtracyjna_sys.keyboard_cont_process.keyboard_control,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.keyboard_cont_process.keyboard_control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process kadz_filtracyjna_sys.keyboard_cont_process,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.keyboard_cont_process total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
